Product Name,Total Rating,Price,Highlights
"ASUS Chromebook Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0002 / CX1101CMA-GJ0007 Chromebook  (11.6 Inch, Transparent Silver, 1.24 Kg)","<div class=""_2d4LTz"">3.6</div>","₹13,990","11.6 Inch HD, LCD (Anti-glare display, LED Backlit, Brightness : 200nits, NTSC: 45%)Light Laptop without Optical Disk Drive"
"HP 360 Intel Celeron Quad Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook  (14 Inch, Forest Teal, 1.49 Kg)","<div class=""_2d4LTz"">3.9</div>","₹22,990","14 Inch HD, touch, micro-edge, BrightView, (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)Light Laptop without Optical Disk Drive"
"Lenovo V15 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Black, 1.7 Kg)","<div class=""_2d4LTz"">4.2</div>","₹34,604",Stylish & Portable Thin and Light Laptop15.6 Inch Full HD Anti-glare DisplayLight Laptop without Optical Disk Drive
"HP G8 Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 240 G8 Business Laptop  (14 inch, Black Grey, 1.47 kg)","<div class=""_2d4LTz"">4.2</div>","₹34,990","14 inch 35.6 cm (14) diagonal, HD (1366 x 768), narrow bezel, anti-glare, 250 nits, 45% NTSCLight Laptop without Optical Disk Drive"
"HP Laptop Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2717TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",,"₹38,990","Stylish & Portable Thin and Light Laptop15.6 Inch Full HD, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSCLight Laptop without Optical Disk Drive"
"HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg kg, With MS Office)","<div class=""_2d4LTz"">4.3</div>","₹37,880","Stylish & Portable Thin and Light Laptop14 Inch FHD, IPS, micro-edge, BrightView, (Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC)Light Laptop without Optical Disk Drive"
"Lenovo IdeaPad 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.63 Kg, With MS Office)","<div class=""_2d4LTz"">4.2</div>","₹55,350",Stylish & Portable Thin and Light Laptop15.6 Inch Full HD TN 250nits Anti-glareLight Laptop without Optical Disk Drive
"ASUS Chromebook Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0004 / CX1101CMA_ID-GJ0003 Chromebook  (11.6 Inch, Transparent Silver, 1.24 Kg)","<div class=""_2d4LTz"">3.5</div>","₹12,990","11.6 Inch HD, LCD (Anti-glare display, LED Backlit, Brightness : 200nits, NTSC: 45%)Light Laptop without Optical Disk Drive"
"DELL Inspiron Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (38 cm, Carbon Black, 1.8 kg, With MS Office)","<div class=""_2d4LTz"">4.1</div>","₹35,990","Stylish & Portable Thin and Light Laptop38 cm Full HD, WVAAG Narrow Border, Refresh Rate: 120 Hz, Brightness: 250 nitsLight Laptop without Optical Disk Drive"
"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","<div class=""_2d4LTz"">4</div>","₹30,990","Stylish & Portable Thin and Light Laptop15.6 Inch HD, micro-edge, BrightView, Brightness: 250 nits, 101 ppi, Color Gamut: 45%NTSCLight Laptop without Optical Disk Drive"
"DELL Core i7 12th Gen 1260P - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Vostro 5620 Laptop  (16 Inch, Titan Grey, 1.91 Kg, With MS Office)",,"₹88,490",NVIDIA GeForce MX570Preloaded with MS OfficeLight Laptop without Optical Disk Drive16 Inch Full HD+ WVA AG 60 Hz 250 nits with ComfortView
"ASUS Chromebook Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0275 Chromebook  (15.6 Inch, Transparent Silver, 1.80 Kg)","<div class=""_2d4LTz"">3.3</div>","₹20,990","15.6 Inch Full HD, LED BacklitLight Laptop without Optical Disk Drive"
"Lenovo V15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)","<div class=""_2d4LTz"">4.2</div>","₹31,490",Stylish & Portable Thin and Light Laptop15.6 Inch Full HD Anti-glare DisplayLight Laptop without Optical Disk Drive
"HP 2023 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","<div class=""_2d4LTz"">4.2</div>","₹32,990","Stylish & Portable Thin and Light Laptop15.6 Inch Full HD, micro-edge,anti-glare, Brightness: 220 nits, 141 ppi, Color Gamut: 45%NTSCLight Laptop without Optical Disk Drive"
"HP (2023) Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","<div class=""_2d4LTz"">4.3</div>","₹54,990","Stylish & Portable Thin and Light Laptop15.6 Inch FHD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSCLight Laptop without Optical Disk Drive"
"HP Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Notebook  (15.6 Inch, Jet Black, 2.5 Kg)","<div class=""_2d4LTz"">4</div>","₹21,999",15.6 Inch HDLight Laptop without Optical Disk Drive
"HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook  (11.6 inch, Ash Grey, 1.07 Kg)","<div class=""_2d4LTz"">3.8</div>","₹21,890","11.6 inch HD Touch IPS Anti-glare Display (220 nits Brightness, 50% NTSC, 73% Screen-to-body Ratio)Light Laptop without Optical Disk Drive"
"HP 360 Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromebook  (14 Inch, Mineral Silver, 1.49 Kg)","<div class=""_2d4LTz"">3.8</div>","₹22,990","14 Inch HD, touch, micro-edge, BrightView (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)Light Laptop without Optical Disk Drive"
"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A  (13.3 inch, Silver, 1.29 kg)","<div class=""_2d4LTz"">4.7</div>","₹79,990","Stylish & Portable Thin and Light Laptop13.3 inch Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology)Light Laptop without Optical Disk Drive"
"Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin and Light Laptop  (14 Inch, Cloud Grey, 1.3 Kg, With MS Office)","<div class=""_2d4LTz"">3.7</div>","₹25,990","Stylish & Portable Thin and Light Laptop14 Inch HD, TN 220nits Anti-glareLight Laptop without Optical Disk Drive"
"Lenovo IdeaPad Slim 3 Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 Kg, With MS Office)","<div class=""_2d4LTz"">4.2</div>","₹46,990","Stylish & Portable Thin and Light Laptop15.6 inch FHD, (TN 250 nits Anti-glare)Light Laptop without Optical Disk Drive"
"Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin and Light Laptop  (16 Inch, Cloud Grey, 1.89 kg, With MS Office)",,"₹86,990","Stylish & Portable Thin and Light Laptop16 Inch WUXGA, IPS, 300nits Anti-glare, 45% NTSC, TUV Low Blue LightLight Laptop without Optical Disk Drive"
"Infinix INBook Y1 Plus Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light Laptop  (15.6 inch, Blue, 1.76 kg)","<div class=""_2d4LTz"">4.2</div>","₹26,990","Stylish & Portable Thin and Light Laptop15.6 inch Full HD, Anti Glare (250 nits Peak Brightness, NTSC 60%)Light Laptop without Optical Disk Drive"
"HP Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","<div class=""_2d4LTz"">4.3</div>","₹41,990","Stylish & Portable Thin and Light Laptop15.6 Inch Full HD, Micro Edge, Anti-Glare, UWVA, Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSCLight Laptop without Optical Disk Drive"
